,type_cat,Year,Broad Research Area,FOR Category,Field of Research,Res KW1,Res KW2,Res KW3,Res KW4,Res KW5,code,parent_field_code,parent_field_label
128,1,2015,Clinical Medicine and Science,OPHTHALMOLOGY and OPTOMETRY,Ophthalmology,primary open angle glaucoma,retinal ganglion cell,stem cells,expression profiling,RNA,111301.0,11.0,MEDICAL AND HEALTH SCIENCES
129,1,2015,Clinical Medicine and Science,IMMUNOLOGY,Cellular Immunology,immunology,inflammation,T cell immunity,T cell immunotherapy,adaptive immunity,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
130,1,2015,Clinical Medicine and Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,transfusion,haemorrhage,anticoagulation,thrombocytopenia,critical care medicine,119999.0,11.0,MEDICAL AND HEALTH SCIENCES
131,1,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Infectious Diseases,infectious diseases,human immunodeficiency virus (HIV),cardiovascular disease,antiretroviral therapy,coagulation,110309.0,11.0,MEDICAL AND HEALTH SCIENCES
132,1,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Intensive Care,critical illness,muscle wasting,muscle weakness,falls,physiotherapy,110310.0,11.0,MEDICAL AND HEALTH SCIENCES
133,1,2015,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,melanoma,genetic mapping,oncogenes,cancer biology,young adults,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
134,1,2015,Basic Science,BIOMEDICAL ENGINEERING,Biomaterials,biomedical engineering,biomaterials,bone defects,bone disease,tissue engineering,90301.0,9.0,ENGINEERING
135,1,2015,Public Health,PSYCHOLOGY,"Health, Clinical and Counselling Psychology",cancer,adolescent,young adults,health literacy,mental health,170106.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
136,1,2015,Basic Science,BIOMEDICAL ENGINEERING,Biomaterials,brain disease,drug delivery systems,nanotechnology,cell biology,biomaterials,90301.0,9.0,ENGINEERING
137,1,2015,Basic Science,CLINICAL SCIENCES,Podiatry,gait,muscle function,postural control,neurophysiology,biomechanics,110318.0,11.0,MEDICAL AND HEALTH SCIENCES
138,1,2015,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),zebrafish,cardiac,genomics,imaging,myocardial infarction,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
139,1,2015,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),hypertension,pregnancy,renal,vascular endothelial growth factor (VEGF),renin-angiotensin system (RAS),110201.0,11.0,MEDICAL AND HEALTH SCIENCES
140,1,2015,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Respiratory Diseases,asthma,chronic obstructive pulmonary disease (COPD),respiratory infection,lung inflammation,immunology,110203.0,11.0,MEDICAL AND HEALTH SCIENCES
141,1,2015,Basic Science,NANOTECHNOLOGY,Nanomedicine,haematological disorders,nanotechnology,iron chelators,drug delivery systems,neurodegenerative disorders,100709.0,10.0,TECHNOLOGY
142,1,2015,Public Health,MEDICAL MICROBIOLOGY,Medical Microbiology not elsewhere classified,blood pressure,dietary factors,microbial ecology,dietary intake,bioinformatics,110899.0,11.0,MEDICAL AND HEALTH SCIENCES
143,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aged Health Care,dementia,medications,quality of life,aged care,residential care,111702.0,11.0,MEDICAL AND HEALTH SCIENCES
144,1,2015,Basic Science,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",attention deficit hyperactivity disorder (ADHD),autism spectrum disorders,cognitive neuroscience,psychophysiology,oculomotor,170101.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
145,1,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Endocrinology,polycystic ovarian syndrome (PCOS),reproductive endocrinology,obesity,metabolic disorders,infertility,110306.0,11.0,MEDICAL AND HEALTH SCIENCES
146,1,2015,Basic Science,NANOTECHNOLOGY,Nanomedicine,drug delivery systems,glioblastoma,cancer therapy,combination therapy,targeted therapy,100709.0,10.0,TECHNOLOGY
147,1,2015,Basic Science,NEUROSCIENCES,Central Nervous System,attention deficit hyperactivity disorder (ADHD),stem cells,gene expression,neurotransmission,electrophysiology,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
148,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aged Health Care,non-invasive,breast carcinoma,shared clinical decision making,aged health,quality of life,111702.0,11.0,MEDICAL AND HEALTH SCIENCES
149,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,hepatitis C infection,intravenous drug users,antiviral therapy,prevention,prison population,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
150,1,2015,Clinical Medicine and Science,OPHTHALMOLOGY and OPTOMETRY,Optometry and Ophthalmology not elsewhere classified,microbial ecology,dry eye,cataract,antibiotics,quality of life,,,
151,1,2015,Public Health,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,nutrition,growth,child health,microbiology,infectious diseases,111403.0,11.0,MEDICAL AND HEALTH SCIENCES
152,1,2015,Basic Science,GENETICS,Genomics,genomics,bioinformatics,stem cells,developmental biology,genetics,60408.0,6.0,BIOLOGICAL SCIENCES
153,1,2015,Basic Science,NEUROSCIENCES,Central Nervous System,Alzheimer disease,brain ageing,transcranial magnetic stimulation (TMS),cortical plasticity,connectivity,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
154,1,2015,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Reproduction,oocyte,infertility,epigenetics,signalling pathways,metabolic disorders,111404.0,11.0,MEDICAL AND HEALTH SCIENCES
155,1,2015,Health Services Research,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),atrial fibrillation,self-management,cognitive impairment,secondary prevention,risk factors,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
156,1,2015,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,human immunodeficiency virus (HIV),bioinformatics,drug resistance,early prognosis,genetic testing,110804.0,11.0,MEDICAL AND HEALTH SCIENCES
157,1,2015,Public Health,DENTISTRY,Periodontics,indigenous Australians,renal disease,arterial function,periodontitis,microbiology,110508.0,11.0,MEDICAL AND HEALTH SCIENCES
158,1,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Gastroenterology and Hepatology,Barrett's oesophagus,oesophageal cancer,motility disorders,endoscopic surgery,pancreatic cancer,110307.0,11.0,MEDICAL AND HEALTH SCIENCES
159,1,2015,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),atrial fibrillation,obesity,weight loss,electrophysiology,adipose tissue,110201.0,11.0,MEDICAL AND HEALTH SCIENCES
160,1,2015,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,virology,vaccination failure,molecular evolution,molecular genetics,vaccination,110804.0,11.0,MEDICAL AND HEALTH SCIENCES
161,1,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Orthopaedics,low back pain,randomised controlled trial (RCT),clinical epidemiology,smoking,obesity,110314.0,11.0,MEDICAL AND HEALTH SCIENCES
162,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,indigenous health,paediatric,infectious diseases,respiratory infection,cell-mediated immunity,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
163,1,2015,Clinical Medicine and Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Clinical Pharmacology and Therapeutics,ageing,therapeutics,clinical pharmacology,quality use,quality of life,111502.0,11.0,MEDICAL AND HEALTH SCIENCES
164,1,2015,Health Services Research,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,indigenous health,adolescent health,mental health promotion,service provision,quality improvement,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
165,1,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,sexually-transmitted infections (STI),human immunodeficiency virus (HIV),hepatitis,Aboriginal health,drugs problems,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
166,3,2015,Clinical Medicine and Science,PSYCHOLOGY,"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)",frontotemporal dementia,Alzheimer disease,neuroimaging,social cognition,diagnosis,170101.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
167,3,2015,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Haematology,haematopoietic stem cells,haematopoietic stem cell transplantation,adhesion molecules,leukaemia,chemotherapy treatment effects,110202.0,11.0,MEDICAL AND HEALTH SCIENCES
168,3,2015,Basic Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,diabetes,nephropathy,advanced glycation,mitochondrial function,type 1 diabetes mellitus (insulin-dependent diabetes mellitus),119999.0,11.0,MEDICAL AND HEALTH SCIENCES
169,3,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,sun exposure,vitamin D,multiple sclerosis (MS),autoimmune disease,immune dysfunction,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
170,3,2015,Basic Science,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),statistical genetics,bioinformatics,genetics,neurogenetics,population genetics,60412.0,6.0,BIOLOGICAL SCIENCES
171,3,2015,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Reproduction,ovary,oocyte,fertility,reproduction,endocrine factors,111404.0,11.0,MEDICAL AND HEALTH SCIENCES
172,3,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Dermatology,wound healing,chronic leg or foot ulcers,scar formation,wounds,antibody therapy,110304.0,11.0,MEDICAL AND HEALTH SCIENCES
173,3,2015,Basic Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,diabetes,complications,renin-angiotensin system (RAS),advanced glycation,angiotensin,119999.0,11.0,MEDICAL AND HEALTH SCIENCES
174,3,2015,Basic Science,BIOMEDICAL ENGINEERING,Medical Devices,bone,cartilage destruction,tendon,biomaterials,musculoskeletal,90304.0,9.0,ENGINEERING
175,3,2015,Basic Science,IMMUNOLOGY,Immunology not elsewhere classified,viral immunology,Herpes simplex virus (HSV),antigen presentation,vaccine biology,immunogenetics,110799.0,11.0,MEDICAL AND HEALTH SCIENCES
176,3,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,maternal and child health,health inequalities,Aboriginal health,refugee health,resilience,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
177,3,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,prevention,disease management,cardiovascular disease,risk prediction,chronic diseases,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
178,3,2015,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Biochemistry and Cell Biology not elsewhere classified,developmental biology,developmental disorders,developmental genetics,kidney development,kidney disease,60199.0,6.0,BIOLOGICAL SCIENCES
179,3,2015,Basic Science,GENETICS,Neurogenetics,gene discovery,gene identification,epilepsy,gene mutations,gene function,60410.0,6.0,BIOLOGICAL SCIENCES
180,3,2015,Public Health,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),mental health,alcoholism,tobacco use,physical health,internet service delivery,110319.0,11.0,MEDICAL AND HEALTH SCIENCES
181,3,2015,Basic Science,NEUROSCIENCES,Cellular Nervous System,axonal reconnection,axonal injury,nerve repair,nerve regeneration,molecular biology,110902.0,11.0,MEDICAL AND HEALTH SCIENCES
182,3,2015,Basic Science,IMMUNOLOGY,Innate Immunity,Toll-like receptors,macrophages,inflammation,bacterial pathogen,signalling,110707.0,11.0,MEDICAL AND HEALTH SCIENCES
183,3,2015,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),crystallography,electron microscopy,structural biology,membrane protein,bioenergetics,60112.0,6.0,BIOLOGICAL SCIENCES
184,3,2015,Public Health,STATISTICS,Biostatistics,malaria control,antimalarial,biostatistics,population health,infectious diseases,10402.0,1.0,MATHEMATICAL SCIENCES
185,3,2015,Basic Science,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),brain imaging,dementia,attention deficit hyperactivity disorder (ADHD),pregnancy complications,depression,60412.0,6.0,BIOLOGICAL SCIENCES
186,3,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,Aboriginal,epidemiology,population health,community intervention,dentistry,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
187,3,2015,Clinical Medicine and Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,neurodegeneration,neuroimaging,neurophysiology,sleep disorders,diagnostic methods,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
188,3,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,physical activity,sedentary behaviour,cardiovascular,epidemiology,mental health,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
189,3,2015,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,melanoma,cancer cell biology,mitogen activated protein (MAP) kinase,signalling pathways,immune response,111201.0,11.0,MEDICAL AND HEALTH SCIENCES
190,3,2015,Basic Science,NEUROSCIENCES,Cellular Nervous System,Alzheimer disease,apolipoprotein E,amyloid beta-protein,neurodegeneration,transgenic mouse,110902.0,11.0,MEDICAL AND HEALTH SCIENCES
191,3,2015,Clinical Medicine and Science,NUTRITION AND DIETICS,Nutritional Physiology,energy intake,body weight regulation,nutritional therapy,glucose homeostasis,novel therapies,111103.0,11.0,MEDICAL AND HEALTH SCIENCES
192,3,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,fetal development,cohort study,determinants,allergy prevention,multiple sclerosis (MS),111706.0,11.0,MEDICAL AND HEALTH SCIENCES
193,3,2015,Basic Science,MEDICAL PHYSIOLOGY,Cell Physiology,lipid metabolism,glucose homeostasis,insulin resistance syndrome,insulin action,metabolic disorders,,,
194,3,2015,Public Health,NUTRITION AND DIETICS,Nutrition and Dietetics not elsewhere classified,dietary intake,dietary intervention,maternal nutrition,nutritional therapy,chronic diseases,111199.0,11.0,MEDICAL AND HEALTH SCIENCES
195,3,2015,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,Escherichia coli,urinary tract infection (UTI),bacterial pathogenesis,bacterial virulence,adhesins,110801.0,11.0,MEDICAL AND HEALTH SCIENCES
196,3,2015,Basic Science,IMMUNOLOGY,Cellular Immunology,memory T-cells,adaptive immunity,innate immunity,influenza virus,indigenous Australians,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
197,3,2015,Basic Science,GENETICS,Genome Structure and Regulation,transposons,genomics,neurobiology,DNA sequencing,functional genomics,60407.0,6.0,BIOLOGICAL SCIENCES
198,3,2015,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,cerebral palsy treatments,rehabilitation,neuroplasticity,early intervention,health outcomes,110903.0,11.0,MEDICAL AND HEALTH SCIENCES
199,3,2015,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,genomics,bacteria,bacterial evolution,bacterial pathogenesis,infectious diseases,110801.0,11.0,MEDICAL AND HEALTH SCIENCES
200,3,2015,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiovascular medicine and Haematology nec,atherosclerosis,risk factors,lipids,imaging,clinical trial,,,
201,3,2015,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Structural Biology (incl. Macromolecular Modelling),protein structure,protein interactions,bacterial pathogenesis,innate immunity,drug design,60112.0,6.0,BIOLOGICAL SCIENCES
202,3,2015,Basic Science,IMMUNOLOGY,Cellular Immunology,germinal centre,selection,autoimmunity initiation,antibody production,genetic engineering,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
203,3,2015,Basic Science,MEDICAL MICROBIOLOGY,Medical Bacteriology,Streptococcus pyogenes,virulence factors,vaccine candidate molecules,vaccine development,outbreak,110801.0,11.0,MEDICAL AND HEALTH SCIENCES
204,3,2015,Public Health,OTHER PSYCHOLOGY AND COGNITIVE SCIENCES,Psychology and Cognitive Sciences not elsewhere classified,cognitive decline,dementia,injury prevention,intervention,epidemiology,179999.0,17.0,PSYCHOLOGY AND COGNITIVE SCIENCES
205,3,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Health Promotion,tobacco control,marketing,tobacco use,alcohol and behaviour,overweight/obesity,111712.0,11.0,MEDICAL AND HEALTH SCIENCES
206,3,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,back pain,primary care,musculoskeletal disorders,clinical research,implementation,110399.0,11.0,MEDICAL AND HEALTH SCIENCES
207,3,2015,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Genetics,sarcoma,genomics,genetic predisposition,cancer biology,clinical trial,111203.0,11.0,MEDICAL AND HEALTH SCIENCES
208,3,2015,Basic Science,NEUROSCIENCES,Neurology and Neuromuscular Diseases,epilepsy,genetic disorders,mouse models,electrophysiology,ion channels,110904.0,11.0,MEDICAL AND HEALTH SCIENCES
209,3,2015,Basic Science,IMMUNOLOGY,Immunology not elsewhere classified,T cell immunity,memory T-cells,epigenetics,chromatin structure,viral immunity,110799.0,11.0,MEDICAL AND HEALTH SCIENCES
210,3,2015,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Signal Transduction,protein tyrosine phosphatase (PTP),signal transduction,obesity,type 2 diabetes mellitus (non-insulin dependent diabetes mellitus),cancer biology,60111.0,6.0,BIOLOGICAL SCIENCES
211,3,2015,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Signal Transduction,tumour necrosis factor (TNF),ubiquitin,inflammation,Crohn's disease,psoriasis,60111.0,6.0,BIOLOGICAL SCIENCES
212,3,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Epidemiology,cardiovascular,clinical trial,salt sensitive hypertension,diabetes mellitus,nutrition,111706.0,11.0,MEDICAL AND HEALTH SCIENCES
213,3,2015,Basic Science,MEDICAL MICROBIOLOGY,Medical Parasitology,cysticercosis,hydatid disease,parasite,vaccines,vaccine development,110803.0,11.0,MEDICAL AND HEALTH SCIENCES
214,3,2015,Clinical Medicine and Science,OPHTHALMOLOGY and OPTOMETRY,Ophthalmology,age-related,macular degeneration,clinical outcome,eye disease,outcome measures,111301.0,11.0,MEDICAL AND HEALTH SCIENCES
215,3,2015,Clinical Medicine and Science,ONCOLOGY AND CARCINOGENESIS,Cancer Therapy (excl. Chemotherapy and Radiation Therapy),melanoma,oncogenes,cancer therapy,immunotherapy,targeted therapy,111204.0,11.0,MEDICAL AND HEALTH SCIENCES
